MAG,LoPthruTP2,Aggregate_Adjusted_popSNP_Count
C014-M36_BAPx49_sub.SR_plate.fasta,0.5,0.000
C014-M36_BAPx49_sub.SR_plate.fasta,2.25,19.396
C014-M36_BAPx49_sub.SR_plate.fasta,3,24.878
C014-M36_BAPxbin.7_sub.SR_plate.fasta,0,0.000
C014-M36_BAPxbin.7_sub.SR_plate.fasta,0.75,0.000
C014-M36_BAPxC014-M36_BAP.005_sub.SR_plate.fasta,0,0.000
C014-M36_BAPxC014-M36_BAP.005_sub.SR_plate.fasta,0.75,0.000
C014-M36x107.SR_stool.fasta,0,0.000
C014-M36x107.SR_stool.fasta,2.25,5.328
C014-M36x107.SR_stool.fasta,3,7.456
C014-M36x34.SR_stool.fasta,0,0.000
C014-M36x34.SR_stool.fasta,0.75,1.075
C014-M36x35.SR_stool.fasta,0,0.000
C014-M36x35.SR_stool.fasta,0.75,0.000
C014-M36xC014__C014-M36.001.LR_stool.fasta,0,0.000
C014-M36xC014__C014-M36.001.LR_stool.fasta,0.75,2.919
C014-M36xC014__C014-M36.011.LR_stool.fasta,0,0.000
C014-M36xC014__C014-M36.011.LR_stool.fasta,0.75,0.000
C017-M00_BAPxbin.6.SR_plate.fasta,0,0.000
C017-M00_BAPxbin.6.SR_plate.fasta,0.5,0.000
C017-M00_BAPxbin.6.SR_plate.fasta,1.916666667,0.000
C017-M00_BAPxbin.6.SR_plate.fasta,3,0.000
C017-M00x12_sub.LR_stool.fasta,0,0.000
C017-M00x12_sub.LR_stool.fasta,0.5,0.000
C017-M00x12_sub.LR_stool.fasta,1.916666667,0.677
C017-M00x95.SR_stool.fasta,0,0.000
C017-M00x95.SR_stool.fasta,0.5,8.498
C017-M00xbin.11.SR_stool.fasta,0,0.000
C017-M00xbin.11.SR_stool.fasta,0.5,1.116
C017-M00xbin.36_sub.SR_stool.fasta,0,0.000
C017-M00xbin.36_sub.SR_stool.fasta,0.5,3.657
C017-M00xbin.62.LR_stool.fasta,0,0.000
C017-M00xbin.62.LR_stool.fasta,1.083333333,0.000
C017-M00xbin.73_sub.SR_stool.fasta,0,0.000
C017-M00xbin.73_sub.SR_stool.fasta,1.916666667,6.130
C017-M00xbin.73_sub.SR_stool.fasta,3,11.313
C017-M00xbin.75.SR_stool.fasta,0,0.000
C017-M00xbin.75.SR_stool.fasta,1.083333333,0.000
C017-M06_stoolx117.SR_stool.fasta,0,0.000
C017-M06_stoolx117.SR_stool.fasta,1.416666667,3.120
C017-M06_stoolx17.SR_stool.fasta,0,0.000
C017-M06_stoolx17.SR_stool.fasta,2.5,2.894
C017-M06_stoolx50.SR_stool.fasta,0,0.000
C017-M06_stoolx50.SR_stool.fasta,1.416666667,3.026
C017-M06_stoolx50.SR_stool.fasta,2.5,30.258
C017-M06_stoolxbin.85.SR_stool.fasta,0,0.000
C017-M06_stoolxbin.85.SR_stool.fasta,0.5,11.174
C017-M06_WCx6_sub.SR_plate.fasta,0,0.000
C017-M06_WCx6_sub.SR_plate.fasta,1.083333333,0.000
C017-M06_WCxC017-M06_WC.001.SR_plate.fasta,0,0.000
C017-M06_WCxC017-M06_WC.001.SR_plate.fasta,0.5,0.000
C017-M06_WCxC017-M06_WC.002.SR_plate.fasta,0,0.000
C017-M06_WCxC017-M06_WC.002.SR_plate.fasta,0.5,1.888
C017-M06_WCxC017-M06_WC.002.SR_plate.fasta,1.916666667,17.484
C017-M06_WCxC017-M06_WC.002.SR_plate.fasta,3,28.117
C017-M06x21_sub.LR_stool.fasta,0,0.000
C017-M06x21_sub.LR_stool.fasta,0.5,0.000
C017-M06x24.LR_stool.fasta,0,0.000
C017-M06x24.LR_stool.fasta,0.5,9.619
C017-M06x7.LR_stool.fasta,0,0.000
C017-M06x7.LR_stool.fasta,0.5,6.328
C017-M06xC017__C017-M06.014.LR_stool.fasta,0,0.000
C017-M06xC017__C017-M06.014.LR_stool.fasta,0.5,0.000
C017-M06xC017__C017-M06.014.LR_stool.fasta,3,1.377
C017-M06xC017__C017-M06.019.LR_stool.fasta,0,0.000
C017-M06xC017__C017-M06.019.LR_stool.fasta,0.5,0.000
C017-M23_stoolx100_sub.SR_stool.fasta,0,0.000
